CASE_NUMBER,CASE_STATUS,RECEIVED_DATE,DECISION_DATE,EMPLOYER_NAME,SOC_CODE,SOC_NAME,JOB_TITLE,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE
I-200-24000001,Certified,2025-02-07,2025-02-20,APPLE INC,15-1252.00,Computer Occupations,Software Engineer I,146500,165583,Year,San Francisco,CA,94105
I-200-24000002,Certified,2025-07-13,2025-08-12,AIRBNB INC,15-1252.00,Computer Occupations,Junior Software Developer,126000,141420,Year,New York,NY,10001
I-200-24000003,Certified,2025-03-25,2025-04-02,ANTHROPIC PBC,15-1252.00,Computer Occupations,Junior Software Developer,127500,141836,Year,Sunnyvale,CA,94086
I-200-24000004,Certified,2025-11-13,2025-12-12,MICROSOFT CORP,15-1252.00,Computer Occupations,Junior Software Developer,135000,143440,Year,Sunnyvale,CA,94086
I-200-24000005,Certified,2026-04-29,2026-05-09,STRIPE INC,15-1252.00,Computer Occupations,Software Engineer I,154500,163819,Year,New York,NY,10001
I-200-24000006,Certified,2026-01-07,2026-01-23,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Junior Software Developer,143500,154671,Year,Sunnyvale,CA,94086
I-200-24000007,Certified,2025-12-16,2026-01-12,AIRBNB INC,15-1252.00,Computer Occupations,Junior Software Developer,117500,134193,Year,Seattle,WA,98101
I-200-24000008,Certified,2026-05-04,2026-05-11,META PLATFORMS INC,15-1252.00,Computer Occupations,Associate Software Engineer,121500,131818,Year,San Francisco,CA,94105
I-200-24000009,Certified,2025-04-09,2025-04-21,CLOUDFLARE INC,15-1252.00,Computer Occupations,Software Engineer I,136500,151325,Year,Seattle,WA,98101
I-200-24000010,Certified,2026-04-22,2026-05-03,OPENAI LLC,15-1252.00,Computer Occupations,Junior Software Developer,126500,136329,Year,New York,NY,10001
I-200-24000011,Certified,2026-03-25,2026-04-02,AMAZON.COM SERVICES LLC,15-1252.00,Computer Occupations,Software Engineer I,119000,138538,Year,San Francisco,CA,94105
I-200-24000012,Certified,2026-03-27,2026-04-06,META PLATFORMS INC,15-1252.00,Computer Occupations,Junior Software Developer,145000,154935,Year,Sunnyvale,CA,94086
I-200-24000013,Certified,2025-09-05,2025-09-24,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Associate Software Engineer,145500,159131,Year,San Francisco,CA,94105
I-200-24000014,Certified,2025-01-18,2025-02-05,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Software Engineer I,144000,151710,Year,New York,NY,10001
I-200-24000015,Certified,2025-08-08,2025-08-18,PALANTIR TECHNOLOGIES INC,15-1252.00,Computer Occupations,Associate Software Engineer,164000,170661,Year,Seattle,WA,98101
I-200-24000016,Certified,2025-06-01,2025-06-15,OUTLIER CORP,15-1252.00,Computer Occupations,Software Engineer I,2500000,2500000,Year,New York,NY,10001
I-200-24000017,Certified,2025-12-23,2026-01-22,AMAZON.COM SERVICES LLC,15-1252.00,Computer Occupations,Associate Software Engineer,112500,126474,Year,Chicago,IL,60601
I-200-24000018,Certified,2026-01-07,2026-02-03,META PLATFORMS INC,15-1252.00,Computer Occupations,Associate Software Engineer,113000,130003,Year,Chicago,IL,60601
I-200-24000019,Certified,2025-03-01,2025-03-17,META PLATFORMS INC,15-1252.00,Computer Occupations,Junior Software Developer,118000,123293,Year,Chicago,IL,60601
I-200-24000020,Certified,2026-02-20,2026-03-15,PALANTIR TECHNOLOGIES INC,15-1252.00,Computer Occupations,Software Engineer I,118000,130423,Year,Denver,CO,80202
I-200-24000021,Certified,2025-10-04,2025-10-18,MICROSOFT CORP,15-1252.00,Computer Occupations,Associate Software Engineer,107000,126845,Year,Boston,MA,02110
I-200-24000022,Certified,2025-04-06,2025-04-21,AMAZON.COM SERVICES LLC,15-1252.00,Computer Occupations,Associate Software Engineer,120000,134079,Year,Chicago,IL,60601
